,precision,recall,f1-score,support
High,0.8698462224203254,0.9288434079009995,0.8983772586028311,4202.0
Low,0.9868643272659036,0.9951745671302867,0.9910020257219578,73983.0
Medium,0.9860788368473788,0.9673533410017777,0.9766263381263065,47815.0
accuracy,0.9824047619047619,0.9824047619047619,0.9824047619047619,0.9824047619047619
macro avg,0.9475964621778693,0.963790438677688,0.9553352074836985,126000.0
weighted avg,0.9826637851950869,0.9824047619047619,0.9824577179932226,126000.0
