,precision,recall,f1-score,support
High,0.9303317535545024,0.934316991908615,0.9323201139871764,4202.0
Low,0.9871671091801432,0.9950529175621426,0.9910943274298754,73983.0
Medium,0.9864000338939966,0.9738366621353132,0.9800780880015997,47815.0
accuracy,0.9849761904761904,0.9849761904761904,0.9849761904761904,0.9849761904761904
macro avg,0.9679662988762141,0.9677355238686903,0.9678308431395505,126000.0
weighted avg,0.9849806022821587,0.9849761904761904,0.9849537660556752,126000.0
