,precision,recall,f1-score,support
High,0.3795893597653484,0.893146120894812,0.5327560508197885,4202.0
Low,0.9345338558800812,0.8831353148696323,0.908107882721669,73983.0
Medium,0.803523885798394,0.776367248771306,0.7897121705277937,47815.0
accuracy,0.8429523809523809,0.8429523809523809,0.8429523809523809,0.8429523809523809
macro avg,0.7058823671479413,0.8508828948452501,0.7435253680230837,126000.0
weighted avg,0.8663106932441289,0.8429523809523809,0.8506609035454638,126000.0
