,precision,recall,f1-score,support
High,0.30682703123648003,0.8438838648262732,0.4500285551113649,4202.0
Low,0.8330969686225846,0.7622561939905114,0.7961037586024351,73983.0
Medium,0.6280507368826336,0.6140750810415142,0.6209842861070575,47815.0
accuracy,0.7087460317460318,0.7087460317460318,0.7087460317460318,0.7087460317460318
macro avg,0.5893249122472327,0.7400717132860996,0.6223721999402859,126000.0
weighted avg,0.7377344936420912,0.7087460317460318,0.7181073650910387,126000.0
