,precision,recall,f1-score,support
High,0.9153018249883014,0.9309852451213708,0.9230769230769231,4202.0
Low,0.9872227223259751,0.9931741075652515,0.9901894725493895,73983.0
Medium,0.9832124659069286,0.9725609118477465,0.9778576835730507,47815.0
accuracy,0.9832777777777778,0.9832777777777778,0.9832777777777778,0.9832777777777778
macro avg,0.9619123377404017,0.9655734215114563,0.9637080263997878,126000.0
weighted avg,0.9833023888236765,0.9832777777777778,0.9832716041145726,126000.0
